FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-21,CLT,ABE,OH,1,0.06966264944121396
2025-04-08,LAX,EWR,UA,0,0.4505812173362715
2025-04-09,MDW,SDF,WN,0,0.2984852005215514
2025-04-02,TPA,IAD,UA,0,0.28335457194107433
2025-04-10,DAL,STL,WN,0,0.4507778794414181
2025-04-16,SEA,PHX,AS,0,0.5509846854624003
2025-04-29,MDW,LGA,WN,1,0.6273480380552428
2025-04-06,ORD,MCI,MQ,0,0.5887597234520602
2025-04-05,MCO,DEN,UA,1,0.6600720580978147
2025-04-08,DEN,MEM,UA,0,0.23491153064333256
2025-04-26,SFO,PSP,OO,0,0.7173837232059551
2025-04-01,FLL,LAX,DL,1,0.147803725459928
2025-04-17,LAX,MIA,AA,0,0.46666647635889236
2025-04-01,ONT,AUS,WN,0,0.13589088766110588
2025-04-23,CLT,PDX,AA,0,0.20967882918189454
2025-04-09,BOS,LGA,B6,0,0.44834599137836945
2025-04-22,PHX,SEA,AS,0,0.45773938796589997
2025-04-04,MDW,ELP,WN,0,0.15136514751155186
2025-04-29,CLT,DCA,AA,0,0.6497051763516956
2025-04-14,LGA,ATL,DL,0,0.3903203765991382
2025-04-21,LAX,SMF,OO,0,0.31962249223722683
2025-04-16,DEN,OKC,OO,1,0.6954121571932466
2025-04-08,SFO,RDU,UA,0,0.15384453935392456
2025-04-05,SNA,SEA,AS,0,0.4840290078164037
2025-04-04,DCA,ATL,DL,1,0.5021829444691216
2025-04-16,SFO,BUR,UA,0,0.7547624705710908
2025-04-29,DFW,BHM,MQ,0,0.36802147598581453
2025-04-25,HNL,LIH,HA,0,0.4928547644370787
2025-04-21,DFW,TYS,AA,0,0.542009553639201
2025-04-08,PHX,BWI,WN,0,0.2032453123894997
2025-04-14,OAK,SAN,WN,0,0.5564395980707384
2025-04-03,CLE,DFW,AA,0,0.5197271260921018
2025-04-05,PHL,RSW,AA,1,0.561886660389096
2025-04-09,EWR,ORD,UA,0,0.6392514191801908
2025-04-25,BIL,LAS,G4,0,0.9967391323382474
2025-04-11,PHX,IDA,OO,1,0.18084120759833872
2025-04-28,ORD,LIT,OO,0,0.5374821306878271
2025-04-07,ELP,PHX,MQ,0,0.2317331979474509
2025-04-20,SMF,LAS,WN,0,0.4413248444061965
2025-04-30,PHX,EUG,AA,0,0.6805025185113838
2025-04-06,DTW,MDT,OO,0,0.23633241830605645
2025-04-28,LAX,JFK,AA,1,0.4544769247781183
2025-04-28,JFK,SFO,DL,0,0.2985222394901982
2025-04-16,CLT,SAV,OH,1,0.7442110693849197
2025-04-25,MIA,LGA,AA,0,0.7134331021589144
2025-04-02,PHL,DEN,AA,1,0.3171988129067796
2025-04-24,LAS,SLC,DL,0,0.35433837339382834
2025-04-17,DAL,PHX,WN,0,0.5008778881162129
2025-04-09,TPA,CVG,DL,0,0.36477383775345096
2025-04-26,ALB,ATL,DL,0,0.43751851767017547
2025-04-16,HNL,ITO,HA,0,0.4947938223452115
2025-04-23,AGS,CLT,OH,0,0.6262898296660552
2025-04-07,BZN,SLC,DL,0,0.133767847758588
2025-04-03,DFW,IAD,AA,1,0.6516953787951529
2025-04-05,JFK,LAX,DL,0,0.31227147275815614
2025-04-06,FLL,ORD,NK,0,0.8851216779716465
2025-04-12,STX,CLT,AA,0,0.1369198170139246
2025-04-25,JAX,MIA,AA,0,0.476265846394921
2025-04-03,MKE,AUS,WN,1,0.40270062363024023
2025-04-12,RSW,DEN,UA,0,0.3539212075328345
2025-04-05,SLC,DEN,WN,1,0.5335062412047921
2025-04-20,CLE,SRQ,F9,0,0.7868532913330266
2025-04-26,RDU,DCA,AA,0,0.7361349013084252
2025-04-17,ATL,BOS,DL,0,0.6503276970452436
2025-04-11,PDX,OAK,WN,0,0.6160195342994863
2025-04-21,MRY,SAN,OO,0,0.6961496306861578
2025-04-03,DEN,LBL,OO,0,0.18923737201805038
2025-04-13,LAS,JFK,DL,0,0.2759302933834352
