FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-13,PDX,SMF,OO,0,0.7545966531794674
2025-04-17,DCA,PWM,YX,1,0.4112337464273206
2025-04-21,BWI,SLC,WN,0,0.33122738481229946
2025-04-16,SNA,PHX,WN,0,0.30754341136646507
2025-04-01,SMF,SAN,WN,0,0.6669948524507653
2025-04-13,TYS,DFW,AA,0,0.7571069829606022
2025-04-03,SEA,LAX,OO,0,0.691146972784447
2025-04-29,SEA,ORD,DL,1,0.4334837476342294
2025-04-02,MIA,ATL,NK,0,0.15163759605963847
2025-04-25,ORD,SEA,DL,1,0.5877641967933082
2025-04-11,DTW,BNA,DL,0,0.1431884962493754
2025-04-24,SJU,PHL,F9,0,0.6502165781003636
2025-04-09,ORD,CMH,YX,0,0.49218496484586255
2025-04-24,DFW,PHL,AA,0,0.6114813135013393
2025-04-09,PDX,ORD,AS,0,0.41753712511661323
2025-04-27,MEM,ATL,DL,0,0.2985548769485647
2025-04-11,FAR,LAS,G4,0,0.0
2025-04-01,SFB,IND,G4,1,0.8405023128528686
2025-04-15,TPA,CLT,AA,0,0.4424012045182939
2025-04-29,ORD,ROC,MQ,0,0.5871487010110761
2025-04-18,GJT,DEN,OO,0,0.0
2025-04-03,SAN,SEA,AS,0,0.5862209055912642
2025-04-02,CVG,PHL,OH,1,0.6004113900927321
2025-04-01,SLC,LAS,WN,0,0.769018920974395
2025-04-07,PHX,OAK,WN,1,0.5624458805436887
2025-04-24,AGS,DCA,OH,0,0.0
2025-04-11,EWR,STL,YX,0,0.643256496426373
2025-04-14,RSW,ATL,DL,1,0.4327950245573903
2025-04-05,IND,RSW,WN,1,0.42880461853967616
2025-04-29,EWR,PHX,UA,0,0.4620548342641619
2025-04-28,BOS,DCA,YX,0,0.24341854991143475
2025-04-21,PHL,CHS,F9,1,0.5108129973167318
2025-04-15,HNL,KOA,WN,0,0.17220869166431083
2025-04-15,GPT,DFW,MQ,0,0.0
2025-04-07,HNL,ITO,HA,0,0.48579433612125744
2025-04-10,LAS,OAK,WN,0,0.6493512023615656
2025-04-24,ORD,EWR,NK,1,0.4013197522858633
2025-04-01,LBB,DFW,AA,0,0.36642632165430367
2025-04-15,PHL,SEA,AS,0,0.3052459163023666
2025-04-05,IAH,ATL,DL,0,0.14811958145405996
2025-04-14,EWR,BOS,UA,0,0.24487736623299716
2025-04-08,LAX,STL,WN,0,0.0
2025-04-11,DCA,MSP,DL,1,0.46887178864391627
2025-04-08,SLC,MIA,AA,0,0.4620548342641619
2025-04-21,DEN,CPR,OO,0,0.47009571558796703
2025-04-28,PSC,SEA,OO,0,0.3831988054441685
2025-04-11,AUS,ATL,DL,0,0.3579652730950774
2025-04-11,HOU,FLL,WN,0,0.0
2025-04-26,MDW,LAS,WN,0,0.35040051594603716
2025-04-15,GEG,DEN,WN,0,0.0
2025-04-09,MCO,LGA,DL,0,0.24055244724437172
2025-04-19,TYS,PHL,OH,0,0.82149956298478
2025-04-17,SLC,PHX,WN,0,0.2608210922931163
2025-04-19,ATL,ORF,DL,0,0.7242494851232892
2025-04-25,LAX,MIA,AA,0,0.33042382696909045
2025-04-09,BNA,DAL,WN,0,0.36642632165430367
2025-04-15,SAN,SEA,AS,0,0.5862209055912642
2025-04-21,DTW,SFO,DL,0,0.8847238453591516
2025-04-25,LIT,ATL,DL,0,0.12257102162720915
2025-04-29,PHX,PAE,AS,0,0.0
2025-04-12,LAS,ORD,AA,0,0.42880461853967616
2025-04-08,SAN,SEA,AS,0,0.5449108892611798
2025-04-01,FLL,ATW,G4,0,0.33122738481229946
2025-04-14,CLT,DAY,OH,0,0.2124155101485074
2025-04-14,DEN,LAR,OO,0,0.5316178403481608
2025-04-26,PHX,STL,WN,0,0.0
2025-04-08,CMH,DAL,WN,0,0.6808445538305706
2025-04-25,BDL,PBI,B6,0,0.5895575611288199
2025-04-23,DFW,PHL,AA,0,0.7302663010803391
2025-04-02,RIC,BOS,B6,0,0.20444436124007767
2025-04-29,MIA,EWR,UA,0,0.2673049213713063
2025-04-23,SEA,PSP,AS,0,0.24341854991143475
2025-04-21,BUF,ATL,DL,0,0.14394514567713754
2025-04-07,PHL,CLT,AA,0,0.35028194222590003
2025-04-25,ORD,AUS,UA,0,0.06874670685484091
2025-04-16,DCA,LAX,AA,0,0.28481963457457776
2025-04-18,LAX,BOI,OO,0,0.539863352178937
2025-04-20,MCO,MSP,DL,0,0.19493465496051965
2025-04-11,BUR,SMF,WN,0,0.17220869166431083
2025-04-14,SFO,SNA,UA,0,0.24055244724437172
2025-04-03,ATL,DEN,DL,1,0.643256496426373
2025-04-24,MYR,BWI,WN,1,0.0
2025-04-24,EWR,PDX,UA,1,0.0
2025-04-24,PIT,ATL,DL,1,0.36857476504087167
2025-04-03,BOS,CMH,YX,1,0.5224415048359063
2025-04-02,MLU,DFW,MQ,0,0.6502165781003636
2025-04-30,ORD,ROA,OO,0,0.7878917598168413
2025-04-17,SEA,LAX,AS,0,0.42215915586061536
2025-04-21,SJU,RDU,F9,1,0.6875016525574075
2025-04-13,EWR,SYR,YX,0,0.5157259435566134
2025-04-14,ATL,LGA,DL,0,0.14811958145405996
2025-04-29,SLC,LAS,WN,0,0.769018920974395
2025-04-06,SJC,DFW,AA,0,0.0
2025-04-13,CLT,MCO,AA,1,0.5895575611288199
2025-04-07,MSY,MIA,AA,0,0.1850052347506122
2025-04-11,ATL,MDW,WN,1,0.35028194222590003
2025-04-30,DEN,EWR,UA,1,0.5624458805436887
2025-04-19,LAS,JFK,B6,1,0.5959648921377293
2025-04-22,AVL,BOS,G4,0,0.8405023128528686
2025-04-10,DFW,MCO,AA,0,0.6707488494183124
2025-04-21,CLT,ABE,OH,1,0.0
2025-04-08,LAX,EWR,UA,0,0.36204324388836917
2025-04-09,MDW,SDF,WN,0,0.20444436124007767
2025-04-02,TPA,IAD,UA,0,0.20444436124007767
2025-04-10,DAL,STL,WN,0,0.48312749087075724
2025-04-16,SEA,PHX,AS,0,0.6004113900927321
2025-04-29,MDW,LGA,WN,1,0.7302663010803391
2025-04-06,ORD,MCI,MQ,0,0.4843546949220948
2025-04-05,MCO,DEN,UA,1,0.7063858555318723
2025-04-08,DEN,MEM,UA,0,0.1431884962493754
2025-04-26,SFO,PSP,OO,0,0.864815941658019
2025-04-01,FLL,LAX,DL,1,0.28481963457457776
2025-04-17,LAX,MIA,AA,0,0.33042382696909045
2025-04-01,ONT,AUS,WN,0,0.0
2025-04-23,CLT,PDX,AA,0,0.0
2025-04-09,BOS,LGA,B6,0,0.4598263535078781
2025-04-22,PHX,SEA,AS,0,0.4424012045182939
2025-04-04,MDW,ELP,WN,0,0.0
2025-04-29,CLT,DCA,AA,0,0.6669948524507653
2025-04-14,LGA,ATL,DL,0,0.46155775165913066
2025-04-21,LAX,SMF,OO,0,0.44813542705385045
2025-04-16,DEN,OKC,OO,1,0.7302663010803391
2025-04-08,SFO,RDU,UA,0,0.0
2025-04-05,SNA,SEA,AS,0,0.5959648921377293
2025-04-04,DCA,ATL,DL,1,0.46155775165913066
2025-04-16,SFO,BUR,UA,0,0.6038277498452387
2025-04-29,DFW,BHM,MQ,0,0.4327950245573903
2025-04-25,HNL,LIH,HA,0,0.478845448509919
2025-04-21,DFW,TYS,AA,0,0.49671964718468203
2025-04-08,PHX,BWI,WN,0,0.0
2025-04-14,OAK,SAN,WN,0,0.37707821871406805
2025-04-03,CLE,DFW,AA,0,0.653073328464749
2025-04-05,PHL,RSW,AA,1,0.7485587437242242
2025-04-09,EWR,ORD,UA,0,0.3813978740427476
2025-04-25,BIL,LAS,G4,0,1.0
2025-04-11,PHX,IDA,OO,1,0.0
2025-04-28,ORD,LIT,OO,0,0.44177184466019404
2025-04-07,ELP,PHX,MQ,0,0.3451075740095474
2025-04-20,SMF,LAS,WN,0,0.4419227276626807
2025-04-30,PHX,EUG,AA,0,0.783574807260481
2025-04-06,DTW,MDT,OO,0,0.0
2025-04-28,LAX,JFK,AA,1,0.5862209055912642
2025-04-28,JFK,SFO,DL,0,0.21077193876369343
2025-04-16,CLT,SAV,OH,1,0.7275656272110574
2025-04-25,MIA,LGA,AA,0,0.7687912591351923
2025-04-02,PHL,DEN,AA,1,0.39129681161679186
2025-04-24,LAS,SLC,DL,0,0.3256831813561988
2025-04-17,DAL,PHX,WN,0,0.4327950245573903
2025-04-09,TPA,CVG,DL,0,0.5524093414484771
2025-04-26,ALB,ATL,DL,0,0.6041784586209854
2025-04-16,HNL,ITO,HA,0,0.48579433612125744
2025-04-23,AGS,CLT,OH,0,0.6502165781003636
2025-04-07,BZN,SLC,DL,0,0.07437798696004848
2025-04-03,DFW,IAD,AA,1,0.7571069829606022
2025-04-05,JFK,LAX,DL,0,0.400969515156217
2025-04-06,FLL,ORD,NK,0,0.7810460448550144
2025-04-12,STX,CLT,AA,0,0.0
2025-04-25,JAX,MIA,AA,0,0.48312749087075724
2025-04-03,MKE,AUS,WN,1,0.33122738481229946
2025-04-12,RSW,DEN,UA,0,0.602123858674077
2025-04-05,SLC,DEN,WN,1,0.653073328464749
2025-04-20,CLE,SRQ,F9,0,0.7275656272110577
2025-04-26,RDU,DCA,AA,0,0.5368564651517193
2025-04-17,ATL,BOS,DL,0,0.44177184466019404
2025-04-11,PDX,OAK,WN,0,0.739415162865523
2025-04-21,MRY,SAN,OO,0,0.7275656272110577
2025-04-03,DEN,LBL,OO,0,0.0
2025-04-13,LAS,JFK,DL,0,0.29387002029969544
2025-04-21,ATL,STL,DL,0,0.5772001504502436
2025-04-18,CAK,CLT,OH,0,0.3770782187140679
2025-04-15,MSP,SAN,DL,0,0.0
2025-04-06,ATL,DEN,F9,0,0.4967196471846822
2025-04-17,FLG,PHX,OO,1,0.6878172792286241
2025-04-13,DFW,MIA,AA,1,0.6493512023615656
2025-04-19,SEA,SAN,AS,0,0.7485587437242242
2025-04-05,SAN,LAX,OO,0,0.11386133452332037
2025-04-17,BNA,AUS,WN,0,0.2765778411778222
2025-04-20,PHL,FLL,NK,0,0.4967196471846822
2025-04-18,ORD,FLL,NK,0,0.33042382696909045
2025-04-07,ORD,PDX,AS,0,0.0
