FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-10,MSN,MSP,DL,0,0.3863359811272508
2025-04-12,PHX,OKC,OO,0,0.11633598112725081
2025-04-10,AUS,BNA,OO,1,0.26666666666666666
2025-04-16,KOA,HNL,WN,0,0.03666666666666667
2025-04-10,MIA,JAX,MQ,0,0.04666666666666667
2025-04-16,PHL,RSW,AA,0,0.2
2025-04-16,SEA,MSP,DL,0,0.006666666666666667
2025-04-23,DEN,TUL,OO,0,0.13666666666666666
2025-04-28,BOI,LAS,WN,0,0.11666666666666667
2025-04-16,BWI,DFW,AA,0,0.14977200345776745
2025-04-28,DCA,MCO,AA,0,0.16
2025-04-01,LAX,OMA,OO,0,0.023333333333333334
2025-04-10,ABQ,DEN,UA,0,0.11
2025-04-09,LIT,LGA,YX,0,0.02
2025-04-06,DEN,RDU,UA,0,0.39606498574215815
2025-04-13,MCO,SAT,F9,0,0.0830026477939175
2025-04-17,TTN,PBI,F9,0,0.4646279415690911
2025-04-17,SJU,FLL,NK,1,0.31212997148431637
2025-04-30,SEA,DFW,AS,1,0.15906763353607567
2025-04-13,AUS,IAH,UA,0,0.3257343002027423
2025-04-29,DCA,RDU,AA,0,0.44333333333333336
2025-04-03,SLC,SEA,DL,0,0.07333333333333333
2025-04-10,DTW,APN,OO,0,0.2966666666666667
2025-04-18,SLC,SEA,OO,0,0.038980637451212226
2025-04-13,JFK,LAX,DL,1,0.16273165240882487
2025-04-14,FAR,DEN,OO,1,0.17
2025-04-26,SEA,MCO,AS,0,0.3333333333333333
2025-04-01,PHL,BOS,YX,0,0.04
2025-04-28,LAX,ORD,UA,0,0.15
2025-04-09,CLE,LAS,WN,0,0.45
2025-04-09,CLT,CAE,OH,0,0.16825297634611025
2025-04-09,PHX,PHL,AA,0,0.038980637451212226
2025-04-26,IAD,ORD,UA,0,0.25590995531269317
2025-04-06,TPA,TTN,F9,1,0.12300264779391748
2025-04-13,OAK,OGG,HA,0,0.11
2025-04-01,DFW,LAS,AA,1,0.12939831907549154
2025-04-05,BOS,JFK,YX,0,0.09333333333333334
2025-04-24,CLT,FLL,NK,0,0.23
2025-04-30,DFW,LBB,MQ,1,0.11753358614764291
2025-04-26,DEN,XNA,UA,0,0.33717559467768676
2025-04-11,IAH,DTW,DL,1,0.18244396571226912
2025-04-20,ILM,CLT,MQ,0,0.17666666666666667
2025-04-18,HOU,DAL,WN,0,0.15
2025-04-04,IAH,LAS,UA,1,0.37273165240882483
2025-04-09,SJC,LAX,OO,0,0.37
2025-04-03,ROC,ATL,DL,0,0.06
2025-04-30,CMH,RSW,WN,0,0.1728286755062405
2025-04-06,MSY,IND,NK,1,0.12333333333333334
2025-04-22,MIA,DCA,AA,0,0.25
2025-04-15,ABQ,AUS,WN,0,0.04
2025-04-04,BTV,DCA,OH,0,0.4393983190754915
